clock_source,vreg_output,benchmark_name,benchmark_size,b_num,clock_freq
HSI,scale3,prime,5000,0,16000000
HSI,scale3,mat_mul,5000,0,16000000
HSI,scale3,mat_mul_float,5000,0,16000000
HSI,scale3,mat_mul_double,5000,0,16000000
HSE,scale3,prime,5000,0,25000000
HSE,scale3,mat_mul,5000,0,25000000
HSE,scale3,mat_mul_float,5000,0,25000000
HSE,scale3,mat_mul_double,5000,0,25000000
PLL,scale1,prime,5000,0,64000000
PLL,scale1,mat_mul,5000,0,64000000
PLL,scale1,mat_mul_float,5000,0,64000000
PLL,scale1,mat_mul_double,5000,0,64000000
HSI,scale3,prime,5000,0,1000000
HSI,scale3,mat_mul,5000,0,1000000
HSI,scale3,mat_mul_float,5000,0,1000000
HSI,scale3,mat_mul_double,5000,0,1000000
HSE,scale3,prime,5000,0,1562500
HSE,scale3,mat_mul,5000,0,1562500
HSE,scale3,mat_mul_float,5000,0,1562500
HSE,scale3,mat_mul_double,5000,0,1562500
PLL,scale1,prime,5000,0,20000000
PLL,scale1,mat_mul,5000,0,20000000
PLL,scale1,mat_mul_float,5000,0,20000000
PLL,scale1,mat_mul_double,5000,0,20000000
PLL,scale3,prime,5000,0,64000000
PLL,scale3,mat_mul,5000,0,64000000
PLL,scale3,mat_mul_float,5000,0,64000000
PLL,scale3,mat_mul_double,5000,0,64000000
PLL,scale3,prime,5000,0,20000000
PLL,scale3,mat_mul,5000,0,20000000
PLL,scale3,mat_mul_float,5000,0,20000000
PLL,scale3,mat_mul_double,5000,0,20000000
